,1to2,2to1,id,주소2,지역,위도,경도,rate,category,diff
91,33273.0,34526.0,202.0,국민일보 앞,영등포구,37.528816,126.92453,0.4907594507293618,neutral,1253.0
362,32883.0,34393.0,509.0,이마트 버스정류소 옆,성동구,37.539654,127.052589,0.48877757298293595,neutral,1510.0
115,32128.0,34378.0,228.0,선유도역 3번출구 앞,영등포구,37.53846,126.894508,0.4830842330015337,neutral,2250.0
768,33241.0,34171.0,1050.0,둔촌역 3번 출입구,강동구,37.526695,127.135529,0.49310211831721357,neutral,930.0
1381,33959.0,33980.0,1961.0,신도림테크노근린공원,구로구,37.508194,126.891304,0.4998454495944892,neutral,21.0
852,33812.0,33960.0,1160.0,양천향교역 7번출구앞,강서구,37.56768,126.840897,0.4989081036416219,neutral,148.0
730,26511.0,33677.0,1008.0,암사역 3번출구(국민은행앞),강동구,37.549549,127.127151,0.4404698611018808,몰리는 지역,7166.0
563,33115.0,33622.0,769.0,CBS방송국 앞,양천구,37.527855,126.874672,0.4962015074096828,neutral,507.0
816,33795.0,33230.0,1112.0,마곡엠밸리4단지 정문,강서구,37.568577,126.824776,0.5042148452070123,neutral,565.0
764,31769.0,33022.0,1044.0,굽은다리역,강동구,37.545399,127.142601,0.4903304471300026,neutral,1253.0
943,32717.0,32790.0,1268.0,몽촌토성역 1번출구 옆,송파구,37.51728821,127.1141968,0.49944280763887827,neutral,73.0
575,31719.0,32734.0,785.0,"양천구청, 보건소 사잇길",양천구,37.517326,126.866303,0.49212604533536064,neutral,1015.0
41,29270.0,32572.0,144.0,공덕역 8번출구,마포구,37.543579,126.951324,0.47330293328158857,neutral,3302.0
1178,32598.0,32108.0,1625.0,상계역(4번출구),노원구,37.66,127.072968,0.5037863567520786,neutral,490.0
6,31572.0,31769.0,106.0,합정역 7번출구 앞,마포구,37.548645,126.912827,0.4984449250880157,neutral,197.0
2,30347.0,31723.0,102.0,망원역 1번출구 앞,마포구,37.555649,126.910629,0.4889157402932173,neutral,1376.0
1435,25088.0,31715.0,2050.0,노량진역 5번출구,동작구,37.513248,126.939972,0.44166681337253316,몰리는 지역,6627.0
1251,25766.0,31689.0,1721.0,창동역 2번출구,도봉구,37.653015,127.046997,0.44845531285353757,몰리는 지역,5923.0
