,bike_id,bus_id,bus_name,경도,위도
93,[2328 2329 2357],23277,서울상록회관.한국기술센터,127.044057,37.503232
94,[2349],23280,아가방빌딩.하나은행,127.038633,37.501541
95,[2410 2430],23283,역삼역,127.035079,37.500442
96,[2407],23284,강남역12번출구,127.029839,37.498829
97,[],22012,지하철2호선강남역,127.02637,37.500785
98,[2302 2542],22014,논현역,127.023728,37.506367
99,[2303],22016,신사역,127.020607,37.512972
100,[],3166,한남5거리,127.008338,37.532866
101,[ 864 4610],3162,순천향대학병원,127.00573,37.536442
102,[ 802 4611],3160,서울중부기술교육원.블루스퀘어,127.00354,37.541578
103,[483],2237,버티고개,127.005818,37.547498
104,[429],2197,송도병원앞,127.007719,37.550268
105,[4777],2196,약수역7번출구.약수동주민센터,127.009298,37.552851
106,[382],2199,약수역1번출구,127.009687,37.556408
107,[381 479],2201,장충체육관앞,127.007784,37.558481
108,[ 371  430  479 4779],2203,장충동.동국대입구,127.00591,37.560621
109,[ 347  474  476 4793],2171,광희동,127.007958,37.564995
110,[ 346  474 4765],2174,동대문역사문화공원,127.009023,37.567604
111,[3401],1023,동대문역.흥인지문,127.013451,37.572302
112,[456],1041,동묘앞,127.018451,37.573726
113,[363 613 671],6027,신설동역,127.025045,37.57615
114,[614],6025,용두동사거리,127.029988,37.577532
115,[660],6023,제기동역.서울약령시,127.037624,37.578139
116,[],6426,청량리수산시장,127.041895,37.578952
117,[633 677],6019,청량리역환승센터,127.045702,37.580406
118,[],6114,서울성심병원,127.050898,37.584607
119,[],6321,우산빌딩앞,127.054677,37.588882
120,[680],6123,회기시장,127.056742,37.590966
121,[680],6125,경희중고,127.058335,37.593347
122,[634],6127,외대앞,127.059768,37.595481
123,[],6129,이문동교회,127.062128,37.600102
124,[],6131,의릉입구,127.062176,37.603485
125,[1390],8216,한국예술종합학교,127.062102,37.605537
126,[1390],8214,석관동새마을금고,127.060938,37.607272
127,[1333],8212,석관시장,127.059236,37.608816
128,[1333 4408],8141,돌곶이역,127.058386,37.611319
129,[1334],8144,석관동주민센터,127.062051,37.61339
130,[1332 1381 2909],8147,석계역,127.067255,37.615003
131,[1606 1684],11103,태릉입구역4번출구,127.0752,37.619589
132,[2910],11101,공릉시장,127.074178,37.622741
133,[1608 4041],11161,공릉역1번출구,127.072786,37.626579
134,[],11159,서울과학기술대입구,127.071801,37.628474
135,[1616],11417,하계미성아파트,127.068966,37.634849
136,[1616 4007 4036],11416,하계역,127.068213,37.636572
137,[1650 2919],11374,서울시립북서울미술관,127.066392,37.640586
138,[1669],11373,중계역,127.065326,37.642974
139,[1636 1678],11257,백병원,127.062882,37.648018
140,[1636],11256,상계주공4단지,127.061765,37.650775
141,[1673],11255,상계주공6단지,127.061145,37.653184
142,[1690],11185,도봉면허시험장,127.059966,37.657447
143,[1686],11183,상계주공7단지,127.059114,37.660367
144,[],11188,상계주공7단지.광림교회앞,127.062782,37.660497
145,[1537],9104,우이동성원아파트,127.013357,37.662045
146,[1537 1572],9286,우이동도선사입구,127.01273,37.663105
147,[],10342,한국사회봉사회,127.014759,37.661814
148,[],10184,연산군.정의공주묘,127.022975,37.661886
149,[1723 1768 4075],10186,방학동신동아타워,127.028111,37.66168
150,[1767],10189,방학동신동아아파트,127.031383,37.661983
151,[1767],10191,국민은행방학지점,127.034334,37.662332
152,[],10193,신한은행방학동지점,127.037002,37.662655
153,[1733 4062],10195,방학사거리,127.040497,37.662672
154,[1733 4062],10304,정병원,127.04192,37.661947
155,[],10011,도봉보건소,127.040762,37.658936
156,[1707],10013,도봉구민회관.도봉문화원,127.038174,37.65456
157,[1709 1765],10015,쌍문역,127.034769,37.648817
158,[1741 1754],10017,우이1교앞,127.032652,37.645293
159,[],9001,수유3동우체국,127.029043,37.641242
160,[1503 1513 1552 1569],9013,수유(강북구청)역,127.0261,37.638477
161,[1535 1565],9003,수유역,127.024117,37.636659
162,[1529],9005,수유시장.성신여대미아캠퍼스앞,127.024172,37.631226
163,[1501],9007,미아역.신일중고,127.026649,37.62487
164,[1560],9009,도봉세무서.성북시장,127.028719,37.619714
165,[1531 1546],9011,미아사거리역,127.029933,37.613762
166,[],8001,월곡뉴타운,127.028209,37.606906
167,[1318 1348 1367],8003,길음뉴타운,127.024168,37.603626
168,[1393],8005,미아리고개.미아리예술극장,127.021709,37.598811
169,[1384 1386],8007,돈암사거리.성신여대입구,127.018131,37.593743
170,[1336],8175,삼선동주민센터,127.014347,37.590611
171,[1305 1355],8177,성북구청.성북경찰서,127.017259,37.588243
172,[1338 1362],8179,보문역,127.018921,37.585851
173,[1363],8181,보문동성당,127.020796,37.582396
174,[],8183,보문동주민센터,127.021863,37.580451
175,[363 613 671],1243,신설동로터리,127.02278,37.575929
176,[456],1044,동묘앞,127.019672,37.574243
177,[3415],1037,동대문(흥인지문),127.012046,37.571953
178,[452 455 457],1022,종로6가.동대문종합시장,127.005714,37.571127
179,[338 339 453],1020,종로5가.광장시장,126.999335,37.570881
180,[ 338  397 3411 3412],1018,종로4가.종묘,126.995284,37.570627
181,[ 328  334  335 3432],1016,종로3가.탑골공원,126.989988,37.570361
182,[ 328  454 3432],1014,종로2가,126.986247,37.570257
183,[ 318  320  433 4762 4774],2246,을지로입구역.광교,126.982474,37.567558
184,[4774],2140,롯데백화점,126.982065,37.564492
185,[],2127,북창동.남대문시장,126.97792,37.561175
186,[445 485 444],2008,숭례문,126.973778,37.558639
187,[ 379  442 4760],2004,서울역버스환승센터,126.972356,37.555446
188,[820],3012,갈월동,126.971708,37.549534
189,[828 838],3010,숙대입구역,126.972232,37.543756
190,[ 848  849 4620],3008,삼각지역,126.974161,37.535985
191,[817],3006,KT용산지사,126.970564,37.53205
192,[ 853 4633],3004,신용산역,126.966619,37.52792
193,[4619 4629],3002,한강대교북단.LG유플러스,126.963185,37.524306
194,[ 869  870 4605],3340,노들섬,126.958593,37.517671
195,[2002],20014,노들역,126.950962,37.512734
196,[2058 2070],20012,노량진역,126.944711,37.513833
197,[2050],20240,동작구청정문,126.940062,37.512377
198,[],20190,동작구청.노량진초등학교앞,126.940037,37.510373
199,[],20192,장성교회,126.939968,37.508211
200,[2013 2020],20151,장승배기역,126.938522,37.504676
201,[],20150,상도초등학교입구,126.935768,37.50296
202,[2015],20147,성대시장,126.930909,37.499996
203,[4169],20186,신대방삼거리,126.927841,37.497775
204,[],20188,보라매병원입구,126.927191,37.494757
205,[2173],21151,롯데백화점관악점,126.927401,37.490193
206,[2175],21152,패션문화의거리입구,126.929003,37.486635
207,[2164 2195 3807],21262,관악우체국.양지병원,126.933148,37.484452
208,[2109 2137 2195 3807],21118,KT&G관악지점,126.936125,37.484533
209,[2108 2169 2189],21119,봉천역.관악초등학교,126.943247,37.482009
210,[2112 3812],21120,KT관악지점,126.948461,37.481483
211,[2111],21121,봉천사거리,126.954698,37.480266
212,[2186 2198 2199 3810],21122,낙성대동,126.957505,37.479184
213,[2122 2186 3813 3304],21123,낙성대입구,126.960887,37.477844
214,[2165 2167 3305],21124,인헌중고.서울미술고,126.966516,37.475682
215,[],21125,예술인마을.사당초등학교,126.973989,37.47593
216,[3815],21126,남서울농협남현동지점,126.977301,37.476371
