,bike_id,bus_id,bus_name,경도,위도
77,[1241 1242 1243 1244 1245 1247 1265 4465 4475 4478 4488 4491],24013,문정법조단지.건영아파트,127.124748,37.482125
78,[1243 1256 1265 2615 2628 4460],24011,문정로데오거리입구,127.121363,37.488365
79,[1201 1203 1257 2658 4480 4854],24009,가락시장.가락시장역,127.117161,37.494382
80,[1212 4468 4864],24007,송파역,127.111838,37.500208
81,[1251 1262 2623 2639 4864],24005,석촌역,127.108944,37.503408
82,[1251 1262 1296 1297 2610 2623 2639 4868],24003,석촌호수.한솔병원,127.105826,37.5068
83,[1210 1231 1232 1233 1295 2647 4452],24138,잠실역.롯데월드,127.097946,37.512899
84,[1231 1232 1233 1269 4897],24139,잠실5단지,127.093914,37.512213
85,[1222 1235 1269 2635],24141,잠실새내역.잠실2동주민센터,127.087281,37.511772
86,[1206 1222 1224 2635 2637 2645],24142,잠실엘스아파트앞,127.08339,37.511871
87,[1206 1222 1224 2637 2645],24143,종합운동장사거리,127.079692,37.512009
88,[1205],24144,잠실종합운동장,127.072073,37.511118
89,[1205 2316 2322 2355 3603],23196,강남경찰서면허시험장,127.0658,37.509946
90,[2316 2322 2348 2355 3603],23201,한국무역센터.삼성역,127.061701,37.508667
91,[2319 2348 2369],23217,포스코건너편,127.055427,37.506683
92,[2319 2332 2369 2382],23218,선릉역,127.050205,37.505143
93,[2328 2329 2332 2357],23277,서울상록회관.한국기술센터,127.044057,37.503232
94,[2328 2329 2349 2357 2410 2430],23280,아가방빌딩.하나은행,127.038633,37.501541
95,[2349 2407 2410 2430],23283,역삼역,127.035079,37.500442
96,[2231 2407 2410 2515],23284,강남역12번출구,127.029839,37.498829
97,[2231 2268 2298 2407 2421 2515 4305],22012,지하철2호선강남역,127.02637,37.500785
98,[2268 2298 2302 2421 2503 2542],22014,논현역,127.023728,37.506367
99,[2269 2303 2504],22016,신사역,127.020607,37.512972
100,[ 809  837  864 4610],3166,한남5거리,127.008338,37.532866
101,[ 803  854  864 4610 4612],3162,순천향대학병원,127.00573,37.536442
102,[ 802  803  854 4611],3160,서울중부기술교육원.블루스퀘어,127.00354,37.541578
103,[429 483],2237,버티고개,127.005818,37.547498
104,[ 429  483 4777],2197,송도병원앞,127.007719,37.550268
105,[ 372  382  429  480 4777],2196,약수역7번출구.약수동주민센터,127.009298,37.552851
106,[ 371  372  381  382  479  480 4777  373],2199,약수역1번출구,127.009687,37.556408
107,[ 371  381  382  430  477  479 4779],2201,장충체육관앞,127.007784,37.558481
108,[ 371  380  381  430  477  479 4793 4779],2203,장충동.동국대입구,127.00591,37.560621
109,[ 346  347  380  387  430  474  475  476 4765 4793],2171,광희동,127.007958,37.564995
110,[ 346  347  387  393  455  457  474  475  476 3415 4765 4793],2174,동대문역사문화공원,127.009023,37.567604
111,[ 346  361  393 3401 3415 3416  378],1023,동대문역.흥인지문,127.013451,37.572302
112,[ 361  362  363  431  456  613 3401 3416 4798  378],1041,동묘앞,127.018451,37.573726
113,[ 362  363  456  605  613  671  672 1351],6027,신설동역,127.025045,37.57615
114,[ 605  612  614  615  659 4110],6025,용두동사거리,127.029988,37.577532
115,[601 615 630 641 659 660 676],6023,제기동역.서울약령시,127.037624,37.578139
116,[630 633 640 660 677],6426,청량리수산시장,127.041895,37.578952
117,[633 640 677],6019,청량리역환승센터,127.045702,37.580406
118,[616 623 635 667],6114,서울성심병원,127.050898,37.584607
119,[ 635  680 4125],6321,우산빌딩앞,127.054677,37.588882
120,[ 670  680 4125],6123,회기시장,127.056742,37.590966
121,[ 634  663  670  680 4125],6125,경희중고,127.058335,37.593347
122,[ 634  663  680 4104],6127,외대앞,127.059768,37.595481
123,[634],6129,이문동교회,127.062128,37.600102
124,[ 647 1390 4116],6131,의릉입구,127.062176,37.603485
125,[1390 4116],8216,한국예술종합학교,127.062102,37.605537
126,[1333 1390],8214,석관동새마을금고,127.060938,37.607272
127,[1333 1334 1390 4408],8212,석관시장,127.059236,37.608816
128,[1333 1334 4408],8141,돌곶이역,127.058386,37.611319
129,[1332 1333 1334 1381 1601 4408],8144,석관동주민센터,127.062051,37.61339
130,[1332 1381 1601 2909],8147,석계역,127.067255,37.615003
131,[1606 1643 1684 2910 4046],11103,태릉입구역4번출구,127.0752,37.619589
132,[1606 1608 1641 2910 4025 4041 4046],11101,공릉시장,127.074178,37.622741
133,[1608 1611 1640 4025 4041],11161,공릉역1번출구,127.072786,37.626579
134,[1608 1611 1655 2902 4008 4025 4041],11159,서울과학기술대입구,127.071801,37.628474
135,[1616 1655 4007 4008 4036],11417,하계미성아파트,127.068966,37.634849
